KvK-nummer;Vestigings Nummer;Eerste handelsnaam;Indicatie non-mailing;Bezoekadres (KvK HR);Indicatie bezoekadres geschat o.b.v BAG;Openbare ruimte bezoekadres (BAG);Huisnummer bezoekadres (BAG);Huisletter bezoekadres (BAG);Huisnummertoevoeging bezoekadres (BAG);Postcode bezoekadres (BAG);Woonplaats bezoekadres (BAG);Postadres (KvK HR);Indicatie postadres geschat o.b.v BAG;Openbare ruimte postadres (BAG);Huisnummer postadres (BAG);Huisletter postadres (BAG);Huisnummertoevoeging postadres (BAG);Postcode postadres (BAG);Woonplaats postadres (BAG);SBI-omschrijving;SBI-code;Datum aanvang;Bijzondere rechtstoestand;Naam eigenaar(en);Rechtsvorm;Werkzame personen
12961590;999999999735;Services Noord;Nee;Aziëhavenweg 18 1046BK Amsterdam;Nee;Aziëhavenweg;18;;;1046BK;Amsterdam;Postbus 7009 6801HA Arnhem;Nee;;;;;6801HA;Arnhem;Inzameling van onschadelijk afval | Behandeling van onschadelijk afval | Gesorteerd materiaal voorbereiden tot recycling;3811 | 3821 | 3832;1962-12-28;;SITA Recycling Services Noord B.V.;BeslotenVennootschap;0
12961791;999999999984;Papier en Kunststof Recycling;Nee;Aziëhavenweg 18 1046BK Amsterdam;Nee;Aziëhavenweg;18;;;1046BK;Amsterdam;Stemerdingweg 20 3769CE Soesterberg;Nee;Stemerdingweg;20;;;3769CE;Soesterberg;Gesorteerd materiaal voorbereiden tot recycling | Inzameling van onschadelijk afval;3832 | 3811;1991-10-10;;SITA Papier en Kunststof Recycling B.V.;BeslotenVennootschap;2
12961292;999999999488;Oost Nederland;Nee;Siciliëweg 38 1045AS Amsterdam;Nee;Siciliëweg;38;;;1045AS;Amsterdam;Postbus 2033 6802CA Arnhem;Nee;;;;;6802CA;Arnhem;Behandeling van onschadelijk afval;3821;2001-12-27;;PARO Transport B.V.;BeslotenVennootschap;10
12961193;999999999266;Xoalselect B.V.;Nee;Amerikahavenweg 3 1045AA Amsterdam;Nee;Amerikahavenweg;3;;;1045AA;Amsterdam;Amerikahavenweg 3 1045AA Amsterdam;Nee;Amerikahavenweg;3;;;1045AA;Amsterdam;Groothandel in chemische grondstoffen en chemicaliën voor industriële toepassing;46751;2008-04-02;;Coalselect B.V.;BeslotenVennootschap;3
12961094;999999999651;Maritiem B.V.;Nee;Amerikahavenweg 36 1045AG Amsterdam;Nee;Amerikahavenweg;36;;;1045AG;Amsterdam;Amerikahavenweg 36 1045AG Amsterdam;Nee;Amerikahavenweg;36;;;1045AG;Amsterdam;Winning van zand, grind en klei;0812;1999-02-19;;Paes Maritiem B.V.;BeslotenVennootschap;0
12961195;999999999338;D B.V.;Nee;Cacaoweg 20 -50 1047BM Amsterdam;Ja;Cacaoweg;20;;;1047BM;Amsterdam;Cacaoweg 20 -50 1047BM Amsterdam;Ja;Cacaoweg;20;;;1047BM;Amsterdam;Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer;52291;2000-12-29;;DPD (Nederland) B.V.;BeslotenVennootschap;18
12961697;999999999224;Import Benelux B.V.;Nee;Amerikahavenweg 2 1045AC Amsterdam;Nee;Amerikahavenweg;2;;;1045AC;Amsterdam;Amerikahavenweg 2 1045AC Amsterdam;Nee;Amerikahavenweg;2;;;1045AC;Amsterdam;Groothandel in zand en grind;46735;1969-09-24;;Graniet Import Benelux B.V.;BeslotenVennootschap;26
12961298;999999999186;Amsterdam B.V.;Nee;Santoriniweg 27 1045AV Amsterdam;Nee;Santoriniweg;27;;;1045AV;Amsterdam;Postbus 9587 1006GB Amsterdam;Nee;;;;;1006GB;Amsterdam;Handelsbemiddeling in hout, vlakglas, sanitair en bouwmaterialen;4613;1990-06-11;;Monumentenwerf Amsterdam B.V.;BeslotenVennootschap;8
12961399;999999999119;Amsterdam;Ja;Amerikahavenweg 16 1045AD Amsterdam;Nee;Amerikahavenweg;16;;;1045AD;Amsterdam;Amerikahavenweg 16 1045AD Amsterdam;Nee;Amerikahavenweg;16;;;1045AD;Amsterdam;Vervaardiging van stortklare beton;2363;1956-11-06;;Mebin B.V.;BeslotenVennootschap;0
12961190;999999999393;Services;Nee;Aziëhavenweg 18 1046BK Amsterdam;Nee;Aziëhavenweg;18;;;1046BK;Amsterdam;Aziëhavenweg 18 1046BK Amsterdam;Nee;Aziëhavenweg;18;;;1046BK;Amsterdam;Inzameling van onschadelijk afval;3811;2002-06-25;;SITA Recycling Services B.V.;BeslotenVennootschap;0
